"","NewOffense$playerName","Pos"
"636","Tobias Harris","PF"
"646","Reggie Jackson","PG"
"656","Jon Leuer","PF"
"664","Ish Smith","PG"
"674","Andre Drummond","C"
"684","Boban Marjanovic","C"
"685","Henry Ellenson","PF"
"690","Luke Kennard","SG"
"695","Langston Galloway","SG"
"704","Eric Moreland","PF"
"711","Reggie Bullock","SF"
"716","Anthony Tolliver","PF"
"723","Klay Thompson","SG"
"733","Kevon Looney","C"
"736","Draymond Green","PF"
"746","Patrick McCaw","SG"
"755","Jordan Bell","C"
"763","Stephen Curry","PG"
"773","Kevin Durant","SF"
"783","Andre Iguodala","SF"
"792","Shaun Livingston","PG"
"800","Nick Young","SG"
"809","Zaza Pachulia","C"
"819","Omri Casspi","SF"
"826","David West","C"
"836","JaVale McGee","C"
"844","Quinn Cook","PG"
"845","James Harden","SG"
"855","Trevor Ariza","SF"
"863","Chris Paul","PG"
"864","Clint Capela","C"
"874","Ryan Anderson","PF"
"884","Eric Gordon","SG"
"893","Nene","C"
"900","P.J. Tucker","SF"
"910","Tarik Black","C"
"916","Luc Mbah a Moute","PF"
"926","Troy Williams","SF"
"928","Zhou Qi","C"
"932","Bobby Brown","PG"
"937","Demetrius Jackson","PG"
"944","Victor Oladipo","SG"
"953","Myles Turner","C"
"955","Thaddeus Young","PF"
"964","Cory Joseph","PG"
"973","Joe Young","PG"
"979","Al Jefferson","C"
"986","Domantas Sabonis","PF"
"995","Lance Stephenson","SG"
"1004","T.J. Leaf","PF"
"1013","Bojan Bogdanovic","SF"
"1022","Ike Anigbogu","C"
"1026","Darren Collison","PG"
"1035","Damien Wilkins","SF"
"1042","Alex Poythress","PF"
"1046","Sam Dekker","SF"
"1052","Patrick Beverley","SG"
"1060","DeAndre Jordan","C"
"1068","Lou Williams","SG"
"1076","Montrezl Harrell","C"
"1081","Austin Rivers","SG"
"1089","Wesley Johnson","SF"
"1097","Brice Johnson","PF"
"1100","Danilo Gallinari","SF"
"1108","Milos Teodosic","PG"
"1110","Jawun Evans","PG"
"1112","Blake Griffin","PF"
"1120","Sindarius Thornwell","SG"
"1128","Willie Reed","C"
"1136","Julius Randle","PF"
"1145","Larry Nance Jr.","PF"
"1153","Brook Lopez","C"
"1162","Corey Brewer","SF"
"1171","Luol Deng","SF"
"1172","Ivica Zubac","C"
"1173","Jordan Clarkson","SG"
"1182","Brandon Ingram","SF"
"1191","Lonzo Ball","PG"
"1200","Kyle Kuzma","SF"
"1209","Josh Hart","SG"
"1217","Kentavious Caldwell-Pope","SG"
"1224","Tyler Ennis","PG"
"1231","Andrew Bogut","C"
"1237","Marc Gasol","C"
"1246","Jarell Martin","PF"
"1255","Brandan Wright","PF"
"1264","Chandler Parsons","SF"
"1272","Andrew Harrison","PG"
"1280","Mike Conley","PG"
"1288","James Ennis","SF"
"1297","Deyonta Davis","C"
"1298","Tyreke Evans","SG"
"1307","Mario Chalmers","PG"
"1316","Dillon Brooks","SF"
"1325","Ivan Rabb","PF"
"1326","JaMychal Green","PF"
"1327","Justise Winslow","SF"
"1335","Goran Dragic","PG"
"1343","Josh Richardson","SF"
"1351","Tyler Johnson","PG"
"1359","Hassan Whiteside","C"
"1362","Wayne Ellington","SG"
"1370","Okaro White","PF"
"1374","Bam Adebayo","C"
"1380","James Johnson","PF"
"1387","Dion Waiters","SG"
"1395","Kelly Olynyk","PF"
"1403","Jordan Mickey","PF"
"1405","John Henson","C"
"1414","Giannis Antetokounmpo","PF"
"1423","Rashad Vaughn","SG"
"1428","Khris Middleton","SF"
"1437","Greg Monroe","C"
"1442","Mirza Teletovic","PF"
"1451","Matthew Dellavedova","PG"
"1460","Thon Maker","C"
"1469","Malcolm Brogdon","PG"
"1477","D.J. Wilson","PF"
"1480","Sterling Brown","SG"
"1483","Tony Snell","SG"
"1492","Jason Terry","SG"
"1495","DeAndre Liggins","SG"
"1501","Gary Payton II","PG"
"1502","Gorgui Dieng","C"
"1511","Andrew Wiggins","SF"
"1520","Karl-Anthony Towns","C"
"1529","Tyus Jones","PG"
"1538","Jimmy Butler","SG"
"1545","Nemanja Bjelica","PF"
"1554","Cole Aldrich","C"
