Oklahoma City Thunder,OKC,SF,59.4,49.5,64.0,24.0,11.2,5.4,1.8,1.0,3.4,36.0,70.0,5.0,30
Los Angeles Clippers,LAC,PF,82.9,107.8,92.0,57.0,22.2,9.6,3.6,2.0,6.2,55.0,82.0,7.0,1
Charlotte Hornets,CHA,PF,78.3,102.3,87.7,56.8,23.4,5.8,2.6,2.2,5.2,56.0,88.0,5.4,2
Toronto Raptors,TOR,PF,77.6,94.8,79.2,47.0,23.4,6.2,3.4,2.8,4.4,44.0,77.0,7.0,3
Orlando Magic,ORL,PF,81.6,88.7,70.8,43.6,21.4,8.8,2.2,2.0,1.8,55.0,52.0,7.2,4
Golden State Warriors,GSW,PF,81.5,87.3,78.9,40.4,23.4,5.8,4.0,1.6,3.4,45.0,91.0,5.8,5
Sacramento Kings,SAC,PF,81.8,86.9,84.1,41.6,24.6,5.4,2.0,2.0,4.8,49.0,57.0,4.2,6
Houston Rockets,HOU,PF,69.3,82.6,74.2,41.4,17.4,7.0,3.6,2.2,3.2,55.0,61.0,6.0,7
Dallas Mavericks,DAL,PF,70.1,82.6,74.9,40.2,20.2,6.8,2.4,2.0,3.0,45.0,88.0,5.6,8
Los Angeles Lakers,LAL,PF,73.1,81.8,69.5,38.6,22.2,4.6,1.6,3.2,2.4,51.0,83.0,4.0,9
Minnesota Timberwolves,MIN,PF,78.9,79.1,80.5,38.6,20.0,5.6,1.4,3.2,2.2,51.0,84.0,4.8,10
Utah Jazz,UTA,PF,71.0,78.1,73.3,38.0,19.2,5.4,2.8,2.4,2.6,44.0,75.0,5.4,11
Cleveland Cavaliers,CLE,PF,72.3,77.3,79.4,33.8,21.2,4.6,2.8,2.6,3.0,44.0,74.0,3.2,12
Milwaukee Bucks,MIL,PF,72.5,76.7,66.6,36.0,18.4,6.6,2.4,2.0,2.0,43.0,70.0,3.8,13
Oklahoma City Thunder,OKC,PF,71.9,76.3,68.9,36.4,18.2,6.8,1.8,2.8,2.8,43.0,85.0,5.2,14
Atlanta Hawks,ATL,PF,77.0,75.9,80.6,35.2,18.0,7.6,2.0,2.4,3.4,52.0,76.0,5.8,15
New Orleans Pelicans,NOP,PF,75.1,74.4,69.3,37.6,16.0,6.8,2.2,2.0,4.6,54.0,43.0,4.2,16
Philadelphia 76ers,PHI,PF,63.2,71.7,65.1,36.2,14.0,5.4,3.0,3.2,2.6,48.0,74.0,5.6,17
Chicago Bulls,CHI,PF,75.3,71.2,66.3,37.6,18.0,4.4,1.4,1.2,4.0,54.0,66.0,3.2,18
Phoenix Suns,PHX,PF,74.6,71.1,77.2,36.8,18.2,2.6,2.2,2.0,3.8,44.0,75.0,2.8,19
Brooklyn Nets,BKN,PF,83.8,69.4,85.2,31.4,19.2,2.8,2.6,3.0,1.8,48.0,87.0,4.6,20
New York Knicks,NYK,PF,67.3,66.9,62.0,33.2,13.6,6.6,1.0,3.6,3.2,46.0,52.0,5.4,21
