Detroit Pistons,DET,SF,74.8,84.6,78.8,41.8,16.0,8.8,3.8,2.2,5.0,44.0,73.0,4.8,12
Atlanta Hawks,ATL,SF,86.9,83.7,86.2,47.2,15.4,7.0,2.6,1.8,6.4,54.0,67.0,4.8,13
Golden State Warriors,GSW,SF,74.3,81.6,79.7,42.8,13.0,8.8,5.0,0.8,4.8,43.0,60.0,5.2,14
Milwaukee Bucks,MIL,SF,82.3,80.7,79.5,43.2,15.8,7.2,3.6,1.0,4.4,46.0,79.0,5.8,15
Chicago Bulls,CHI,SF,84.4,77.9,83.3,44.8,15.0,7.8,2.6,0.2,6.2,49.0,58.0,5.8,16
Orlando Magic,ORL,SF,82.8,77.5,80.8,41.0,15.2,8.0,3.0,1.0,3.0,41.0,65.0,5.3,17
Utah Jazz,UTA,SF,69.2,75.5,70.7,38.0,17.2,5.2,3.6,2.0,4.8,41.0,62.0,7.2,18
Toronto Raptors,TOR,SF,71.2,73.4,69.1,39.0,13.0,7.8,3.8,0.6,5.4,47.0,78.0,4.6,19
Brooklyn Nets,BKN,SF,87.7,72.6,86.9,35.8,18.2,4.2,3.0,2.0,3.8,44.0,77.0,5.8,20
Boston Celtics,BOS,SF,82.1,72.3,77.8,37.4,17.0,5.0,2.4,2.0,2.6,42.0,60.0,5.8,21
San Antonio Spurs,SAS,SF,75.8,72.3,80.2,35.0,15.4,6.2,3.8,1.6,3.2,47.0,59.0,4.6,22
Minnesota Timberwolves,MIN,SF,78.7,68.6,72.6,43.2,10.4,5.6,2.2,1.2,5.4,52.0,63.0,5.6,23
Philadelphia 76ers,PHI,SF,61.0,67.3,60.5,37.2,11.8,4.8,3.4,1.6,4.2,57.0,78.0,3.6,24
New Orleans Pelicans,NOP,SF,72.4,67.2,71.2,35.4,12.0,6.0,4.2,0.6,5.0,34.0,58.0,3.6,25
Washington Wizards,WAS,SF,82.8,65.3,87.8,35.8,11.0,6.4,3.2,1.4,3.6,41.0,58.0,6.0,26
Miami Heat,MIA,SF,69.9,65.1,64.7,32.4,13.4,6.4,2.0,2.0,2.2,40.0,92.0,3.4,27
Memphis Grizzlies,MEM,SF,65.3,61.6,68.1,30.6,12.4,5.8,3.2,1.0,2.4,43.0,91.0,3.8,28
Indiana Pacers,IND,SF,81.2,58.4,78.8,30.0,9.6,7.4,2.8,0.4,5.2,41.0,77.0,2.2,29
Oklahoma City Thunder,OKC,SF,57.5,43.1,58.3,20.6,11.6,3.6,1.6,0.8,2.2,35.0,74.0,5.0,30
Orlando Magic,ORL,PF,84.8,100.6,77.0,50.4,23.2,10.2,2.8,1.8,3.0,55.0,67.0,7.8,1
Indiana Pacers,IND,PF,92.8,94.9,95.3,47.0,23.6,6.0,1.8,3.2,4.8,49.0,87.0,3.6,2
Charlotte Hornets,CHA,PF,73.7,91.9,76.6,47.8,22.4,6.2,2.2,2.4,4.2,53.0,89.0,6.0,3
Atlanta Hawks,ATL,PF,79.0,90.3,79.5,39.8,20.8,9.8,3.0,3.0,3.8,51.0,78.0,6.8,4
Los Angeles Clippers,LAC,PF,77.9,88.9,84.7,45.0,18.0,8.8,3.0,2.4,4.8,51.0,88.0,6.4,5
Golden State Warriors,GSW,PF,81.3,86.9,80.5,41.2,21.2,6.2,4.0,2.2,3.4,46.0,85.0,5.6,6
Sacramento Kings,SAC,PF,84.5,84.4,88.6,44.0,19.4,5.8,2.6,1.8,6.2,46.0,54.0,3.8,7
Chicago Bulls,CHI,PF,78.3,81.3,81.8,40.6,21.2,5.2,1.8,2.0,4.2,51.0,62.0,4.2,8
Dallas Mavericks,DAL,PF,68.3,79.3,66.0,36.8,19.7,6.7,2.0,2.5,2.8,43.0,71.0,4.7,9
Denver Nuggets,DEN,PF,70.7,76.4,77.1,35.4,17.2,6.6,2.8,3.4,5.2,53.0,82.0,5.6,10
Utah Jazz,UTA,PF,68.3,75.3,71.0,33.6,22.0,4.2,2.8,2.2,3.8,43.0,77.0,6.0,11
Milwaukee Bucks,MIL,PF,73.6,75.3,66.8,36.8,17.8,6.2,2.4,1.6,1.8,46.0,65.0,4.0,12
Cleveland Cavaliers,CLE,PF,71.2,74.8,81.4,39.0,19.4,3.4,1.8,2.2,3.6,48.0,66.0,4.8,13
Toronto Raptors,TOR,PF,73.8,73.5,79.7,35.8,18.0,4.6,3.4,1.8,3.6,54.0,63.0,5.4,14
Philadelphia 76ers,PHI,PF,64.1,72.3,63.3,36.0,13.4,5.8,3.2,3.4,2.6,52.0,69.0,5.2,15
Phoenix Suns,PHX,PF,75.1,70.3,78.8,33.2,19.0,4.8,2.2,1.2,2.8,44.0,73.0,2.4,16
Brooklyn Nets,BKN,PF,84.0,70.2,93.1,27.8,21.6,3.0,2.6,3.6,0.8,46.0,79.0,4.2,17
Miami Heat,MIA,PF,72.7,69.6,73.1,33.8,16.0,5.2,1.4,3.6,4.2,46.0,76.0,4.0,18
Minnesota Timberwolves,MIN,PF,79.8,69.6,82.5,34.0,15.4,5.4,1.8,3.2,3.0,52.0,80.0,3.6,19
Los Angeles Lakers,LAL,PF,71.4,68.8,65.4,32.8,17.0,4.2,2.0,2.8,1.8,51.0,65.0,3.6,20
Houston Rockets,HOU,PF,66.7,67.7,66.6,34.2,13.8,5.8,3.0,2.2,3.8,55.0,78.0,5.8,21
Oklahoma City Thunder,OKC,PF,69.5,63.2,66.2,27.6,17.2,5.4,2.0,2.6,1.0,42.0,79.0,7.0,22
New York Knicks,NYK,PF,69.0,61.9,67.4,34.0,12.8,6.2,1.0,1.4,3.6,49.0,76.0,5.0,23
Portland Trail Blazers,POR,PF,59.6,61.5,62.5,30.4,16.0,3.2,2.6,1.6,3.2,45.0,73.0,4.2,24
San Antonio Spurs,SAS,PF,71.7,61.5,75.7,29.2,15.8,5.0,1.4,1.8,1.6,46.0,71.0,3.4,25
Memphis Grizzlies,MEM,PF,70.6,60.5,63.3,25.6,16.8,3.6,3.8,1.2,1.2,50.0,64.0,4.2,26
New Orleans Pelicans,NOP,PF,74.1,57.1,73.2,28.6,14.0,5.2,1.4,0.8,3.4,46.0,60.0,2.4,27
Detroit Pistons,DET,PF,66.8,56.6,64.8,29.8,11.2,5.2,2.4,1.2,2.2,52.0,83.0,4.4,28
Boston Celtics,BOS,PF,64.0,49.1,57.5,24.6,14.4,1.8,1.0,1.4,2.4,57.0,75.0,3.2,29
Washington Wizards,WAS,PF,75.8,48.8,81.2,23.2,15.4,2.4,1.4,1.2,1.6,40.0,49.0,4.8,30
Indiana Pacers,IND,C,70.4,83.8,77.6,38.2,24.6,4.8,0.6,3.8,2.2,58.0,70.0,4.8,1
Orlando Magic,ORL,C,71.5,78.1,71.8,32.0,22.8,7.4,2.4,1.8,2.0,60.0,58.0,5.6,2
Philadelphia 76ers,PHI,C,72.9,77.0,70.0,34.0,18.8,5.4,2.8,4.0,1.6,50.0,67.0,5.6,3
Oklahoma City Thunder,OKC,C,70.2,76.8,66.1,33.6,20.4,5.8,3.0,3.2,0.6,49.0,73.0,7.4,4
Brooklyn Nets,BKN,C,74.9,73.1,76.1,34.0,18.8,3.8,2.2,3.4,2.2,48.0,66.0,4.4,5
Los Angeles Clippers,LAC,C,68.3,71.9,69.8,34.8,16.8,5.8,2.2,2.2,2.0,54.0,76.0,5.2,6
Sacramento Kings,SAC,C,76.1,68.7,73.1,30.2,19.0,4.6,2.6,1.6,2.0,55.0,81.0,3.6,7
Memphis Grizzlies,MEM,C,67.3,67.9,64.1,27.8,19.6,4.2,2.8,2.6,1.4,59.0,47.0,4.2,8
Charlotte Hornets,CHA,C,57.1,67.8,55.8,27.2,19.0,5.8,1.8,3.6,1.4,48.0,54.0,5.8,9
Utah Jazz,UTA,C,64.5,67.1,64.9,28.0,20.2,3.2,2.2,3.0,2.8,49.0,75.0,4.6,10
Golden State Warriors,GSW,C,69.1,67.0,63.8,31.6,18.4,3.8,2.6,2.0,1.2,47.0,84.0,5.6,11
Dallas Mavericks,DAL,C,76.2,66.4,74.6,29.6,18.8,4.6,0.8,2.4,1.2,63.0,63.0,3.0,12
Chicago Bulls,CHI,C,68.3,66.0,67.6,33.4,18.0,3.2,1.0,2.2,2.6,54.0,72.0,4.6,13
San Antonio Spurs,SAS,C,61.5,62.2,61.8,27.0,17.4,5.2,1.8,1.8,0.6,55.0,59.0,3.8,14
Milwaukee Bucks,MIL,C,66.1,62.0,66.9,29.0,16.2,4.2,1.0,2.4,0.6,57.0,82.0,3.2,15
New Orleans Pelicans,NOP,C,67.0,61.9,68.3,30.0,18.4,3.4,1.0,1.4,1.4,50.0,52.0,3.2,16
Minnesota Timberwolves,MIN,C,66.5,60.8,66.3,23.2,17.8,4.6,1.4,3.8,1.4,49.0,79.0,3.8,17
Phoenix Suns,PHX,C,66.4,60.8,62.7,26.0,18.6,2.6,1.2,2.8,1.4,48.0,69.0,3.0,18
Denver Nuggets,DEN,C,65.0,60.8,63.9,30.8,15.4,3.4,2.2,1.6,2.2,53.0,62.0,4.0,19
Toronto Raptors,TOR,C,64.2,60.7,67.8,27.2,17.6,3.6,2.0,1.8,0.8,55.0,56.0,4.2,20
Los Angeles Lakers,LAL,C,65.6,59.5,56.5,24.0,18.4,4.8,1.0,2.4,0.8,51.0,47.0,3.6,21
Atlanta Hawks,ATL,C,67.3,58.8,67.2,19.8,17.0,7.4,1.8,2.4,1.0,46.0,73.0,5.8,22
Cleveland Cavaliers,CLE,C,55.6,58.3,63.8,27.6,17.4,2.4,1.2,2.2,1.2,54.0,64.0,4.8,23
Miami Heat,MIA,C,66.3,57.5,67.8,22.8,18.4,3.2,1.6,2.6,2.0,44.0,74.0,4.2,24
Houston Rockets,HOU,C,63.7,56.8,64.1,24.8,14.2,3.6,2.0,3.2,1.4,52.0,88.0,3.0,25
Boston Celtics,BOS,C,47.3,56.5,46.7,23.2,16.8,3.6,1.2,3.0,1.4,50.0,67.0,4.8,26
New York Knicks,NYK,C,62.8,55.4,62.1,29.2,14.0,2.8,1.6,1.6,1.6,51.0,82.0,3.8,27
Detroit Pistons,DET,C,63.0,53.1,60.6,25.2,14.4,3.6,1.8,1.2,1.4,61.0,70.0,3.6,28
Washington Wizards,WAS,C,58.4,53.0,55.0,23.0,16.4,1.4,1.8,2.8,0.6,48.0,66.0,4.2,29
Portland Trail Blazers,POR,C,48.4,46.0,58.3,23.2,11.4,2.2,1.8,2.0,2.2,46.0,56.0,4.6,30
